Date,Hour,Appliance Category,Hardware Model,Watts
2024-01-02,13,Television,Samsung 65-inch Neo QLED 4K TV,15
2024-01-01,7,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,228
2024-01-01,18,Refrigerator,Samsung Bespoke AI Refrigerator,162
2024-01-02,18,Lighting,Philips Hue Smart LED,63
2024-01-01,11,Washing Machine,Samsung Front Load Washer,306
2024-01-02,7,Refrigerator,Samsung Bespoke AI Refrigerator,118
2024-01-02,8,Television,Samsung 65-inch Neo QLED 4K TV,147
2024-01-01,7,Lighting,Philips Hue Smart LED,33
2024-01-02,9,Lighting,Philips Hue Smart LED,51
2024-01-02,9,Electronics,Samsung 45W Fast Charger,1
2024-01-02,2,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,237
2024-01-01,1,Kitchen Appliance,Samsung Smart Microwave,1333
2024-01-02,16,Electronics,Samsung Galaxy Book,23
2024-01-01,22,Lighting,Philips Hue Smart LED,14
2024-01-02,13,Kitchen Appliance,Samsung Smart Microwave,1099
2024-01-02,17,Kitchen Appliance,Samsung Smart Dishwasher,187
2024-01-01,11,Kitchen Appliance,Samsung Smart Microwave,146
2024-01-01,5,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,247
2024-01-02,23,Refrigerator,Samsung Bespoke AI Refrigerator,141
2024-01-02,11,Water Heater,Rheem ProTerra Hybrid Smart Heater,2030
2024-01-02,20,Kitchen Appliance,Samsung Smart Microwave,618
2024-01-01,0,Lighting,Philips Hue Smart LED,42
2024-01-02,3,Electronics,Samsung 45W Fast Charger,6
2024-01-02,10,Kitchen Appliance,Samsung Smart Oven,2051
2024-01-02,7,Lighting,Philips Hue Smart LED,18
2024-01-01,8,Electronics,Samsung Galaxy Book,29
2024-01-01,16,Electronics,Samsung 45W Fast Charger,8
2024-01-02,17,Washing Machine,Samsung Front Load Washer,710
2024-01-02,3,Electronics,Samsung Galaxy Book,36
2024-01-02,7,Washing Machine,Samsung Front Load Washer,465
2024-01-02,22,Electronics,Samsung 45W Fast Charger,4
2024-01-01,12,Washing Machine,Samsung Front Load Washer,23
2024-01-02,14,Refrigerator,Samsung Bespoke AI Refrigerator,214
2024-01-01,22,Refrigerator,Samsung Bespoke AI Refrigerator,126
2024-01-01,19,Electronics,Samsung Galaxy Book,110
2024-01-01,7,Lighting,Philips Hue Smart LED,14
2024-01-01,10,Refrigerator,Samsung Bespoke AI Refrigerator,123
2024-01-02,6,Lighting,Philips Hue Smart LED,15
2024-01-01,13,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1287
2024-01-01,23,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,222
2024-01-01,9,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,315
2024-01-02,18,Room Heater,Samsung Smart Heater,1624
2024-01-01,20,Lighting,Philips Hue Smart LED,16
2024-01-01,15,Refrigerator,Samsung Bespoke AI Refrigerator,166
2024-01-01,22,Electronics,Samsung 45W Fast Charger,1
2024-01-01,21,Water Heater,Rheem ProTerra Hybrid Smart Heater,3158
2024-01-02,18,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,150
2024-01-01,20,Lighting,Philips Hue Smart LED,74
2024-01-03,1,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1360
2024-01-02,18,Electronics,Samsung 45W Fast Charger,8
2024-01-01,1,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,43
2024-01-02,10,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,227
2024-01-01,1,Kitchen Appliance,Samsung Smart Oven,311
2024-01-01,21,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1524
2024-01-02,19,Electronics,Samsung 45W Fast Charger,15
2024-01-01,1,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,402
2024-01-02,4,Lighting,Philips Hue Smart LED,83
2024-01-02,16,Lighting,Philips Hue Smart LED,54
2024-01-01,10,Television,Samsung 65-inch Neo QLED 4K TV,156
2024-01-02,23,Electronics,Samsung 45W Fast Charger,11
2024-01-01,15,Kitchen Appliance,Samsung Smart Dishwasher,1038
2024-01-02,0,Refrigerator,Samsung Bespoke AI Refrigerator,130
2024-01-02,18,Room Heater,Samsung Smart Heater,1405
2024-01-01,12,Room Heater,Samsung Smart Heater,62
2024-01-01,12,Refrigerator,Samsung Bespoke AI Refrigerator,101
2024-01-01,12,Kitchen Appliance,Samsung Smart Dishwasher,1803
2024-01-03,1,Washing Machine,Samsung Front Load Washer,79
2024-01-02,1,Refrigerator,Samsung Bespoke AI Refrigerator,158
2024-01-02,13,Refrigerator,Samsung Bespoke AI Refrigerator,105
2024-01-02,20,Water Heater,Rheem ProTerra Hybrid Smart Heater,3383
2024-01-01,3,Kitchen Appliance,Samsung Smart Dishwasher,153
2024-01-01,18,Refrigerator,Samsung Bespoke AI Refrigerator,163
2024-01-02,19,Television,Samsung 65-inch Neo QLED 4K TV,15
2024-01-01,17,Kitchen Appliance,Samsung Smart Dishwasher,1400
2024-01-01,16,Electronics,Samsung Galaxy Book,176
2024-01-02,22,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,277
2024-01-02,14,Washing Machine,Samsung Front Load Washer,333
2024-01-02,20,Lighting,Philips Hue Smart LED,69
2024-01-02,7,Electronics,Samsung 45W Fast Charger,7
2024-01-02,21,Electronics,Samsung 45W Fast Charger,10
2024-01-01,3,Electronics,Samsung 45W Fast Charger,11
2024-01-01,1,Electronics,Samsung 45W Fast Charger,6
2024-01-02,9,Washing Machine,Samsung Front Load Washer,355
2024-01-01,2,Lighting,Philips Hue Smart LED,6
2024-01-01,23,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,56
2024-01-01,12,Lighting,Philips Hue Smart LED,66
2024-01-01,19,Electronics,Samsung Galaxy Book,133
2024-01-02,12,Electronics,Samsung Galaxy Book,30
2024-01-02,23,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,27
2024-01-01,18,Lighting,Philips Hue Smart LED,85
2024-01-01,0,Lighting,Philips Hue Smart LED,10
2024-01-02,18,Electronics,Samsung 45W Fast Charger,2
2024-01-01,13,Refrigerator,Samsung Bespoke AI Refrigerator,129
2024-01-02,20,Lighting,Philips Hue Smart LED,50
2024-01-02,21,Refrigerator,Samsung Bespoke AI Refrigerator,153
2024-01-02,19,Lighting,Philips Hue Smart LED,38
2024-01-01,8,Washing Machine,Samsung Front Load Washer,622
2024-01-02,16,Room Heater,Samsung Smart Heater,2345
2024-01-01,0,Room Heater,Samsung Smart Heater,2227
2024-01-01,8,Refrigerator,Samsung Bespoke AI Refrigerator,178
2024-01-02,11,Refrigerator,Samsung Bespoke AI Refrigerator,165
2024-01-02,7,Electronics,Samsung 45W Fast Charger,4
2024-01-01,3,Kitchen Appliance,Samsung Smart Dishwasher,127
2024-01-02,16,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,144
2024-01-01,9,Kitchen Appliance,Samsung Smart Microwave,232
2024-01-01,11,Electronics,Samsung Galaxy Book,238
2024-01-02,18,Television,Samsung 65-inch Neo QLED 4K TV,67
2024-01-01,13,Kitchen Appliance,Samsung Smart Microwave,737
2024-01-02,21,Room Heater,Samsung Smart Heater,2301
2024-01-01,23,Television,Samsung 65-inch Neo QLED 4K TV,52
2024-01-01,20,Lighting,Philips Hue Smart LED,47
2024-01-01,13,Television,Samsung 65-inch Neo QLED 4K TV,154
2024-01-01,2,Lighting,Philips Hue Smart LED,5
2024-01-02,5,Electronics,Samsung Galaxy Book,36
2024-01-02,21,Lighting,Philips Hue Smart LED,70
2024-01-02,12,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,47
2024-01-01,17,Electronics,Samsung 45W Fast Charger,8
2024-01-02,16,Lighting,Philips Hue Smart LED,14
2024-01-01,0,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,250
2024-01-02,4,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,200
2024-01-02,2,Lighting,Philips Hue Smart LED,6
2024-01-02,6,Room Heater,Samsung Smart Heater,204
2024-01-01,1,Washing Machine,Samsung Front Load Washer,83
2024-01-01,3,Refrigerator,Samsung Bespoke AI Refrigerator,182
2024-01-01,0,Kitchen Appliance,Samsung Smart Dishwasher,221
2024-01-01,17,Refrigerator,Samsung Bespoke AI Refrigerator,154
2024-01-02,5,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,452
2024-01-01,17,Lighting,Philips Hue Smart LED,36
2024-01-02,1,Electronics,Samsung 45W Fast Charger,5
2024-01-02,18,Lighting,Philips Hue Smart LED,60
2024-01-02,2,Kitchen Appliance,Samsung Smart Oven,172
2024-01-03,1,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,304
2024-01-01,8,Room Heater,Samsung Smart Heater,485
2024-01-02,2,Television,Samsung 65-inch Neo QLED 4K TV,25
2024-01-01,10,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,900
2024-01-02,7,Kitchen Appliance,Samsung Smart Oven,309
2024-01-03,0,Kitchen Appliance,Samsung Smart Microwave,261
2024-01-02,10,Electronics,Samsung 45W Fast Charger,18
2024-01-01,6,Washing Machine,Samsung Front Load Washer,77
2024-01-01,23,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,54
2024-01-01,9,Electronics,Samsung 45W Fast Charger,6
2024-01-01,1,Electronics,Samsung 45W Fast Charger,7
2024-01-01,4,Lighting,Philips Hue Smart LED,13
2024-01-02,4,Electronics,Samsung Galaxy Book,34
2024-01-02,17,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,210
2024-01-02,14,Refrigerator,Samsung Bespoke AI Refrigerator,158
2024-01-02,20,Water Heater,Rheem ProTerra Hybrid Smart Heater,2656
2024-01-02,7,Room Heater,Samsung Smart Heater,42
2024-01-01,19,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,44
2024-01-02,13,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,299
2024-01-01,22,Lighting,Philips Hue Smart LED,41
2024-01-01,18,Lighting,Philips Hue Smart LED,68
2024-01-01,4,Refrigerator,Samsung Bespoke AI Refrigerator,104
2024-01-01,12,Electronics,Samsung 45W Fast Charger,6
2024-01-01,9,Refrigerator,Samsung Bespoke AI Refrigerator,130
2024-01-01,5,Refrigerator,Samsung Bespoke AI Refrigerator,141
2024-01-02,22,Kitchen Appliance,Samsung Smart Oven,564
2024-01-01,14,Television,Samsung 65-inch Neo QLED 4K TV,225
2024-01-03,1,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,894
2024-01-01,14,Kitchen Appliance,Samsung Smart Dishwasher,238
2024-01-01,0,Lighting,Philips Hue Smart LED,8
2024-01-02,1,Room Heater,Samsung Smart Heater,1553
2024-01-01,15,Room Heater,Samsung Smart Heater,443
2024-01-02,14,Electronics,Samsung Galaxy Book,297
2024-01-02,2,Electronics,Samsung 45W Fast Charger,3
2024-01-01,21,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,262
2024-01-01,10,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,418
2024-01-02,22,Electronics,Samsung 45W Fast Charger,8
2024-01-02,9,Lighting,Philips Hue Smart LED,2
2024-01-02,8,Lighting,Philips Hue Smart LED,9
2024-01-02,21,Kitchen Appliance,Samsung Smart Dishwasher,1042
2024-01-02,1,Refrigerator,Samsung Bespoke AI Refrigerator,90
2024-01-02,2,Washing Machine,Samsung Front Load Washer,72
2024-01-01,16,Washing Machine,Samsung Front Load Washer,383
2024-01-01,8,Lighting,Philips Hue Smart LED,29
2024-01-01,12,Lighting,Philips Hue Smart LED,11
2024-01-01,3,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,796
2024-01-02,10,Refrigerator,Samsung Bespoke AI Refrigerator,161
2024-01-02,20,Refrigerator,Samsung Bespoke AI Refrigerator,165
2024-01-02,13,Refrigerator,Samsung Bespoke AI Refrigerator,157
2024-01-03,0,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,55
2024-01-02,21,Room Heater,Samsung Smart Heater,1399
2024-01-01,21,Water Heater,Rheem ProTerra Hybrid Smart Heater,3824
2024-01-02,8,Kitchen Appliance,Samsung Smart Microwave,852
2024-01-02,0,Room Heater,Samsung Smart Heater,32
2024-01-02,14,Washing Machine,Samsung Front Load Washer,531
2024-01-01,3,Electronics,Samsung 45W Fast Charger,12
2024-01-03,0,Refrigerator,Samsung Bespoke AI Refrigerator,167
2024-01-02,14,Lighting,Philips Hue Smart LED,77
2024-01-02,21,Lighting,Philips Hue Smart LED,9
2024-01-02,4,Kitchen Appliance,Samsung Smart Dishwasher,143
2024-01-01,14,Refrigerator,Samsung Bespoke AI Refrigerator,187
2024-01-01,23,Lighting,Philips Hue Smart LED,7
2024-01-01,16,Kitchen Appliance,Samsung Smart Dishwasher,885
2024-01-01,20,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1671
2024-01-03,1,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,358
2024-01-01,12,Electronics,Samsung 45W Fast Charger,8
2024-01-02,10,Washing Machine,Samsung Front Load Washer,597
2024-01-02,9,Lighting,Philips Hue Smart LED,55
2024-01-01,5,Kitchen Appliance,Samsung Smart Oven,1882
2024-01-02,10,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1105
2024-01-02,9,Electronics,Samsung 45W Fast Charger,6
2024-01-01,4,Kitchen Appliance,Samsung Smart Oven,516
2024-01-01,17,Electronics,Samsung Galaxy Book,248
2024-01-02,5,Lighting,Philips Hue Smart LED,60
2024-01-01,3,Refrigerator,Samsung Bespoke AI Refrigerator,162
2024-01-01,9,Lighting,Philips Hue Smart LED,45
2024-01-01,14,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,288
2024-01-01,13,Refrigerator,Samsung Bespoke AI Refrigerator,121
2024-01-02,13,Washing Machine,Samsung Front Load Washer,554
2024-01-02,21,Washing Machine,Samsung Front Load Washer,439
2024-01-02,23,Lighting,Philips Hue Smart LED,12
2024-01-01,3,Television,Samsung 65-inch Neo QLED 4K TV,198
